item,count,gfs_title,gfs_title_percent,gfs_author,gfs_author_percent,gfs_author_id,gfs_author_id_percent,gfs_pubyear,gfs_pubyear_percent,gfs_pubyear_clean,gfs_pubyear_clean_percent,gfs_subject,gfs_subject_percent,gfs_subject_id,gfs_subject_id_percent,gfs_description,gfs_description_percent,gfs_item_type,gfs_item_type_percent,gfs_is_digitized,gfs_is_digitized_percent
mhs-gunther-archive,19,19,100.0,0,0.0,0,0.0,6,32.0,3,16.0,2,11.0,0,0.0,15,79.0,0,0.0,0,0.0
mhs-gunther-collection,48,48,100.0,0,0.0,0,0.0,15,31.0,13,27.0,3,6.0,0,0.0,48,100.0,1,2.0,0,0.0
mhs-gunther-loan-collection,4,4,100.0,0,0.0,0,0.0,3,75.0,0,0.0,2,50.0,0,0.0,1,25.0,4,100.0,0,0.0
mhs-gurney-photographs,36,36,100.0,0,0.0,0,0.0,3,8.0,0,0.0,0,0.0,0,0.0,36,100.0,0,0.0,0,0.0
mhs-haldane-collection,41,41,100.0,0,0.0,0,0.0,4,10.0,0,0.0,1,2.0,0,0.0,13,32.0,35,85.0,0,0.0
mhs-hargreaves-mawdsley-collection,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
mhs-hermann-gunther-collection-of-medical-netsuke,100,100,100.0,0,0.0,0,0.0,45,45.0,0,0.0,20,20.0,0,0.0,100,100.0,99,99.0,0,0.0
mhs-herschel’s-photographic-experiments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs-hope-collection,7,7,100.0,0,0.0,0,0.0,5,71.0,3,43.0,2,29.0,0,0.0,5,71.0,4,57.0,0,0.0
mhs-hope-portraits-collection,216,216,100.0,0,0.0,0,0.0,165,76.0,94,44.0,185,86.0,0,0.0,196,91.0,131,61.0,0,0.0
mhs-hyde-parker-collection,8,8,100.0,0,0.0,0,0.0,7,88.0,5,63.0,0,0.0,0,0.0,7,88.0,4,50.0,0,0.0
mhs-john-thompson-collection,12,12,100.0,0,0.0,0,0.0,12,100.0,1,8.0,1,8.0,0,0.0,10,83.0,8,67.0,0,0.0
mhs-keeley-collection,1,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
mhs-lewis-evans-collection,593,593,100.0,0,0.0,0,0.0,539,91.0,64,11.0,503,85.0,0,0.0,511,86.0,558,94.0,0,0.0
mhs-lockwood-collection,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0
mhs-manuscripts-and-archives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs-marconi-collection,648,648,100.0,0,0.0,0,0.0,645,100.0,56,9.0,0,0.0,0,0.0,648,100.0,626,97.0,0,0.0
mhs-mason-collection,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
mhs-mhs-other,14254,14206,100.0,0,0.0,0,0.0,5162,36.0,1154,8.0,1802,13.0,0,0.0,7461,52.0,8124,57.0,0,0.0
mhs-michel-archive,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
mhs-millburn-collection,4,4,100.0,0,0.0,0,0.0,2,50.0,1,25.0,0,0.0,0,0.0,2,50.0,0,0.0,0,0.0
mhs-minn-collection,51,51,100.0,0,0.0,0,0.0,19,37.0,13,25.0,0,0.0,0,0.0,46,90.0,21,41.0,0,0.0
mhs-museum-archive,3,3,100.0,0,0.0,0,0.0,1,33.0,1,33.0,0,0.0,0,0.0,3,100.0,0,0.0,0,0.0
mhs-north-manuscripts,9,9,100.0,0,0.0,0,0.0,1,11.0,1,11.0,0,0.0,0,0.0,7,78.0,0,0.0,0,0.0
mhs-oglander-collection,1,1,100.0,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
mhs-oriel-college-collection,3,3,100.0,0,0.0,0,0.0,2,67.0,2,67.0,0,0.0,0,0.0,3,100.0,0,0.0,0,0.0
mhs-orrery-collection,69,69,100.0,0,0.0,0,0.0,21,30.0,1,1.0,0,0.0,0,0.0,67,97.0,2,3.0,0,0.0
mhs-pointer-collection,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,2,100.0,0,0.0
mhs-portraits-collection,3,3,100.0,0,0.0,0,0.0,3,100.0,1,33.0,2,67.0,0,0.0,3,100.0,3,100.0,0,0.0
mhs-radcliffe-observatory-archive,53,53,100.0,0,0.0,0,0.0,48,91.0,19,36.0,43,81.0,0,0.0,32,60.0,2,4.0,0,0.0
mhs-radcliffe-observatory-collection,21,21,100.0,0,0.0,0,0.0,15,71.0,10,48.0,1,5.0,0,0.0,14,67.0,10,48.0,0,0.0
mhs-riza-photographs,11,11,100.0,0,0.0,0,0.0,5,45.0,2,18.0,0,0.0,0,0.0,11,100.0,0,0.0,0,0.0
mhs-rms-mhs-collection,490,490,100.0,0,0.0,0,0.0,456,93.0,76,16.0,185,38.0,0,0.0,468,96.0,325,66.0,0,0.0
mhs-robert-gunther-loan-collection,2,2,100.0,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,2,100.0,1,50.0,0,0.0
mhs-royal-astronomical-society-collection,43,43,100.0,0,0.0,0,0.0,31,72.0,1,2.0,1,2.0,0,0.0,37,86.0,26,60.0,0,0.0
mhs-royal-microscopical-society-archive,50,50,100.0,0,0.0,0,0.0,19,38.0,11,22.0,0,0.0,0,0.0,50,100.0,0,0.0,0,0.0
mhs-royal-microscopical-society-library,4,4,100.0,0,0.0,0,0.0,3,75.0,3,75.0,0,0.0,0,0.0,4,100.0,0,0.0,0,0.0
mhs-royal-microscopical-society-manuscripts,6,6,100.0,0,0.0,0,0.0,5,83.0,3,50.0,0,0.0,0,0.0,6,100.0,0,0.0,0,0.0
mhs-shortt-photographs,24,24,100.0,0,0.0,0,0.0,9,38.0,9,38.0,0,0.0,0,0.0,22,92.0,0,0.0,0,0.0
mhs-sidgwick-photographs,24,24,100.0,0,0.0,0,0.0,10,42.0,8,33.0,0,0.0,0,0.0,22,92.0,4,17.0,0,0.0
mhs-thomson-photographs,19,19,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,100.0,0,0.0,0,0.0
mhs-tradescant-collection,9,9,100.0,0,0.0,0,0.0,1,11.0,0,0.0,0,0.0,0,0.0,9,100.0,9,100.0,0,0.0
mhs-underhill-collections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs-university-observatory-collection,85,85,100.0,0,0.0,0,0.0,52,61.0,44,52.0,0,0.0,0,0.0,82,96.0,32,38.0,0,0.0
mhs-willmott-photographs,45,45,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23,51.0,18,40.0,0,0.0
mnh-archives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mnh-entomology,5025,5025,100.0,0,0.0,0,0.0,5011,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
mnh-mineralogy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mnh-palaeontology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mnh-petrology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mnh-zoology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-allan-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-ambache-/-saumarez-smith-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-arkell-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
